ref_x,ref_y,ref_z,x,y,z,w,e1,e2,e3,u,v,w,p,q,r,sec,nanosec
0.0,0.0,0.0,0.22169609313701505,-2.1328199412171744,0.1400169390143421,-0.5887353475993262,0.0004609887309531965,0.0020600302568785332,-0.8083231001597264,0.13384646777463796,-0.06113890516571853,-0.003225520647790184,0.0018700943428484607,-0.0002728501755200341,0.013988201226311503,1376,214000000
0.0,0.0,0.0,0.22339055530930438,-2.115028845990297,0.14004374489719285,-0.5880025900266337,0.00040697151371253465,0.001980023227532802,-0.8088565187993331,0.13838635421267037,-0.057226002274587316,-0.001861896495782695,0.0015397192782984348,0.0004072540605193353,0.016054168736445718,1376,314000000
0.0,0.0,0.0,0.22452020522176352,-2.0971498751670983,0.14006148039651667,-0.587173048495218,0.00039098419481049904,0.001883618956295803,-0.8094591467342989,0.13854887485404271,-0.0532124550566216,-0.00017551873121154208,0.0015443348161170434,0.0010393085176474415,0.018051495135296136,1376,423000000
0.0,0.0,0.0,0.22523796718296146,-2.0796255257847953,0.14003257669829514,-0.5862382645697278,0.0004021614259329104,0.0017705065570138528,-0.8101366555878043,0.1338486471212928,-0.04971109779631399,0.004076716000813854,0.001113666962737625,0.001541515598546539,0.020430629228940234,1376,547000000
0.0,0.0,0.0,0.22593685714579254,-2.0632426902903833,0.14010908257596608,-0.5851720277663472,0.0004518443345571453,0.001657144600226413,-0.8109073606943598,0.11967884885137485,-0.04775003441351657,0.00010410691590660086,0.0007018189592145063,0.0020487392703216756,0.02368314817431383,1376,666000000
0.0,0.0,0.0,0.22701245186048363,-2.0514163852239187,0.14007659956957252,-0.584134129673668,0.0005268997250413534,0.0015734706126668508,-0.8116554472910886,0.09701131777795907,-0.04791505128806164,-0.00186858995640207,9.181024651638836e-05,0.0025368768319822266,0.027657727878249716,1376,785000000
0.0,0.0,0.0,0.22914908596398528,-2.042421227200557,0.14001898293751916,-0.5828947532794336,0.0006482335534250053,0.0014931448280447162,-0.8125460337181462,0.06331168353258158,-0.049731671828566984,-0.004196590159829529,-0.000188959455016402,0.003258506148995366,0.032532103796256706,1376,880000000
0.0,0.0,0.0,0.2317920106481598,-2.037602980510692,0.13999049781567816,-0.5817813068989173,0.0007754048640093651,0.00142208590208922,-0.8133436465369184,0.03353706333326113,-0.051311837912688694,-0.002648897868654085,-0.00045213794805931684,0.003928253636331647,0.03540757970768027,1376,980000000
0.0,0.0,0.0,0.23628704882256985,-2.034620715822457,0.14003926654016455,-0.5802732598458596,0.0009288298173580769,0.0012857162780635866,-0.8144203018814561,-0.0023325343124202327,-0.05283880743741197,-0.00012872430227273889,0.0007319140706840699,0.004247443621352431,0.03824528757832013,1377,69000000
0.0,0.0,0.0,0.24202534798965022,-2.0348301600794625,0.14004914861686352,-0.578666096509283,0.0010753393632506004,0.0011383531668170913,-0.815563054918521,-0.035524821910554547,-0.05400817080918631,0.002529011079703236,0.0006896745503581769,0.00404120542043529,0.040304735375684686,1377,170000000
0.0,0.0,0.0,0.250389994104632,-2.0388585751975628,0.1400297341076955,-0.5766394907543186,0.001228726568287467,0.000982521211207802,-0.8169971986400504,-0.07033824622932108,-0.05499832738770903,0.002258441997164467,0.00039499148840604903,0.0033127050528491964,0.04219068759994116,1377,272000000
0.0,0.0,0.0,0.26015369550123735,-2.046383038197312,0.14005521294277248,-0.574529682492076,0.0013598454611934948,0.0008742965982105022,-0.8184821503009911,-0.09903481246790932,-0.05578740200733475,0.0017951132507557214,-8.78797128123221e-07,0.0025209299792550155,0.04359494741947856,1377,381000000
0.0,0.0,0.0,0.2691876624009985,-2.054802363479808,0.13999171204040106,-0.5727239502025594,0.0014505744765384633,0.0008190916186285251,-0.8197466082802567,-0.1181523547591505,-0.056363732037647316,-0.0030348735212754733,-0.0003269140165684803,0.0019042228927901306,0.0444835295638768,1377,497000000
0.0,0.0,0.0,0.28089433072027475,-2.0668433023008843,0.14003547118681697,-0.5705117787991577,0.0015363940901990214,0.0007902081696885203,-0.8212876020710825,-0.13452798035484706,-0.05694190932249486,0.0005592872422396342,-0.0003531460265548958,0.0011309030469419667,0.04506728510023095,1377,616000000
0.0,0.0,0.0,0.2931641539067954,-2.080068012345857,0.14005893947568018,-0.5683019889062483,0.0015764782665540298,0.0007852290678281013,-0.8228181740438093,-0.1402439346640917,-0.05674892335170865,0.000293859043793835,3.531862802219621e-07,0.00017353149956989,0.04398400560603477,1377,730000000
0.0,0.0,0.0,0.30531937733548914,-2.0930343263571927,0.1400235148329621,-0.5662072070515141,0.0015486700659064403,0.0007939283289506623,-0.8242611054646212,-0.1317778735532657,-0.05543636326866667,0.003160645632048621,0.0005138506480761862,-0.0009097078873310238,0.04060294013470411,1377,853000000
